phiSim, phiPrep, phiNoprep
-21.196718,-21.557555,-29.212935
0.192677,-4.033853,-4.038263
-21.655143,-20.156356,-22.084110
34.545750,34.667127,35.061298
-19.597776,-19.928810,-25.426931
-9.776177,-4.720280,-3.857967
-26.799740,-27.081028,-2.523750
-36.051395,-36.189025,-45.037784
-5.125928,NaN,NaN
-19.910143,-24.319303,-22.313021
-21.014544,-22.706766,-47.521136
53.769640,53.699848,55.203174
-2.818007,3.221879,6.379178
-6.770909,-6.958731,-6.982059
-77.931644,-77.848651,-77.962837
28.942188,28.870892,30.435144
1.249512,1.624835,8.666487
-38.670380,-38.821647,-38.735412
25.825305,31.699263,26.402377
-26.481551,-26.845287,-26.504879
11.294960,11.166550,30.666292
-33.399771,-33.630792,-33.439924
27.073859,27.350707,28.346829
-21.604734,5.648710,-22.299064
-1.111406,-1.062849,-0.588392
-60.541396,-60.277743,-60.225112
28.465696,28.313533,29.586742
60.978490,60.778120,62.950417
21.173400,21.632969,18.566839
41.971527,41.911257,40.444506
-59.528571,-59.328984,-61.009782
8.215048,-1.273499,-1.351644
4.027944,4.106252,11.593573
-5.179601,-5.072543,-21.760592
37.288060,37.115233,46.034237
12.568851,12.476817,18.173574
-25.496618,-25.782256,-6.201093
37.135273,37.280451,37.064365
46.953334,46.847141,53.185423
-21.673574,-22.109504,-20.679595
4.700235,4.655846,16.056790
-47.585974,-47.677598,-47.449079
12.533493,13.128140,12.608014
26.122962,26.332520,36.711355
3.389290,3.596271,43.354349
14.707463,14.597723,18.218861
-78.547962,-75.553414,-78.854522
49.580614,49.511881,40.957493
89.579063,89.546935,89.628541
-27.764628,-28.103209,-30.451288
9.723582,9.590455,10.953846
10.470202,10.429279,12.883423
-56.348285,NaN,NaN
-12.163400,-12.243799,-12.186333
11.406551,11.433938,18.895342
47.931978,47.522002,49.936412
-21.586515,-22.004077,-22.867177
-30.150688,-30.210088,NaN
-13.718970,-13.947844,-14.107300
56.371337,56.173473,56.379030
0.366729,1.307809,50.026021
-15.388595,-15.433928,-14.340451
-35.631537,-36.474667,-35.691390
-18.781921,-19.021984,-0.117746
4.746544,5.446801,35.615138
-57.097043,-56.975915,-52.112720
-2.884058,-2.825511,-0.253629
29.103730,29.260723,28.847198
9.913838,11.137540,4.459973
15.238611,15.530353,22.153413
5.048214,5.026309,25.262712
7.196786,7.107115,9.050915
-4.792377,-4.786553,4.846028
