WSS, Pe
0.000000,0.081356
3.500000,136.907088
-3.500000,113.733670
2.500000,89.656281
-2.500000,87.024385
1.500000,41.389539
-1.500000,38.388371
1.000000,20.312838
-1.000000,21.577400
0.500000,20.838835
