Pe, phi, Phi
0.010000,30.384125,0.163691
0.010000,30.818184,0.163687
0.010000,31.252243,0.163684
0.010000,31.686302,0.163680
0.010000,32.120361,0.163676
0.010000,32.554420,0.163672
0.010000,32.988479,0.163668
0.010000,33.422538,0.163664
0.010000,33.856597,0.163660
0.010000,34.290656,0.163656
0.010000,34.724715,0.163651
0.010000,35.158774,0.163647
0.010000,35.592833,0.163643
0.010000,36.026892,0.163638
0.010000,36.460951,0.163634
0.010000,36.895010,0.163629
0.010000,37.329068,0.163625
0.010000,37.763127,0.163620
0.010000,38.197186,0.163615
0.010000,38.631245,0.163610
0.010000,39.065304,0.163606
0.010000,39.499363,0.163601
0.010000,39.933422,0.163596
0.010000,40.367481,0.163591
0.010000,40.801540,0.163586
0.010000,41.235599,0.163580
0.010000,41.669658,0.163575
0.010000,42.103717,0.163570
0.010000,42.537776,0.163565
0.010000,42.971835,0.163559
0.010000,58.197186,0.163338
0.010000,73.422538,0.163061
0.010000,88.647890,0.162746
0.010000,103.873241,0.162408
0.010000,119.098593,0.162062
0.010000,134.323945,0.161722
0.010000,149.549297,0.161398
0.010000,164.774648,0.161096
0.010000,180.000000,0.160894
2.712568,-180.000000,0.009632
2.712568,-164.774648,0.009074
2.712568,-149.549297,0.012220
2.712568,-134.323945,0.018885
2.712568,-119.098593,0.030813
2.712568,-103.873241,0.051208
2.712568,-88.647890,0.084524
2.712568,-73.422538,0.135338
2.712568,-58.197186,0.205525
2.712568,-42.971835,0.290085
2.712568,-42.537776,0.292584
2.712568,-42.103717,0.295082
2.712568,-41.669658,0.297580
2.712568,-41.235599,0.300077
2.712568,-40.801540,0.302572
2.712568,-40.367481,0.305065
2.712568,-39.933422,0.307556
2.712568,-39.499363,0.310043
2.712568,-39.065304,0.312527
2.712568,-38.631245,0.315007
2.712568,-38.197186,0.317482
2.712568,-37.763127,0.319952
2.712568,-37.329068,0.322416
2.712568,-36.895010,0.324874
2.712568,-36.460951,0.327326
2.712568,-36.026892,0.329770
2.712568,-35.592833,0.332207
2.712568,-35.158774,0.334636
2.712568,-34.724715,0.337055
2.712568,-34.290656,0.339466
2.712568,-33.856597,0.341866
2.712568,-33.422538,0.344256
2.712568,-32.988479,0.346635
2.712568,-32.554420,0.349003
2.712568,-32.120361,0.351359
2.712568,-31.686302,0.353702
2.712568,-31.252243,0.356031
2.712568,-30.818184,0.358348
2.712568,-30.384125,0.360649
2.712568,-29.950067,0.362936
2.712568,-29.516008,0.365208
2.712568,-29.081949,0.367464
2.712568,-28.647890,0.369703
2.712568,-28.213831,0.371925
2.712568,-27.779772,0.374130
2.712568,-27.345713,0.376317
2.712568,-26.911654,0.378484
2.712568,-26.477595,0.380633
2.712568,-26.043536,0.382762
2.712568,-25.609477,0.384871
2.712568,-25.175418,0.386958
2.712568,-24.741359,0.389024
2.712568,-24.307300,0.391069
2.712568,-23.873241,0.393091
2.712568,-23.439183,0.395089
2.712568,-23.005124,0.397065
2.712568,-22.571065,0.399016
2.712568,-22.137006,0.400942
2.712568,-21.702947,0.402844
2.712568,-21.268888,0.404720
2.712568,-20.834829,0.406570
2.712568,-20.400770,0.408393
2.712568,-19.966711,0.410189
2.712568,-19.532652,0.411957
2.712568,-19.098593,0.413698
2.712568,-18.664534,0.415409
2.712568,-18.230475,0.417092
2.712568,-17.796416,0.418745
2.712568,-17.362357,0.420368
2.712568,-16.928298,0.421961
2.712568,-16.494240,0.423523
2.712568,-16.060181,0.425054
2.712568,-15.626122,0.426552
2.712568,-15.192063,0.428019
2.712568,-14.758004,0.429453
2.712568,-14.323945,0.430854
2.712568,-13.889886,0.432222
2.712568,-13.455827,0.433556
2.712568,-13.021768,0.434856
2.712568,-12.587709,0.436121
2.712568,-12.153650,0.437351
2.712568,-11.719591,0.438546
2.712568,-11.285532,0.439706
2.712568,-10.851473,0.440829
2.712568,-10.417414,0.441917
2.712568,-9.983356,0.442967
2.712568,-9.549297,0.443981
2.712568,-9.115238,0.444958
2.712568,-8.681179,0.445897
2.712568,-8.247120,0.446799
2.712568,-7.813061,0.447663
2.712568,-7.379002,0.448489
2.712568,-6.944943,0.449276
2.712568,-6.510884,0.450024
2.712568,-6.076825,0.450734
2.712568,-5.642766,0.451404
2.712568,-5.208707,0.452035
2.712568,-4.774648,0.452627
2.712568,-4.340589,0.453179
2.712568,-3.906530,0.453692
2.712568,-3.472471,0.454165
2.712568,-3.038413,0.454597
2.712568,-2.604354,0.454989
2.712568,-2.170295,0.455342
2.712568,-1.736236,0.455653
2.712568,-1.302177,0.455925
2.712568,-0.868118,0.456156
2.712568,-0.434059,0.456347
2.712568,0.000000,0.456497
2.712568,0.434059,0.456606
2.712568,0.868118,0.456675
2.712568,1.302177,0.456703
2.712568,1.736236,0.456690
2.712568,2.170295,0.456637
2.712568,2.604354,0.456544
2.712568,3.038413,0.456410
2.712568,3.472471,0.456236
2.712568,3.906530,0.456021
2.712568,4.340589,0.455766
2.712568,4.774648,0.455471
2.712568,5.208707,0.455135
2.712568,5.642766,0.454760
2.712568,6.076825,0.454345
2.712568,6.510884,0.453891
2.712568,6.944943,0.453397
2.712568,7.379002,0.452864
2.712568,7.813061,0.452291
2.712568,8.247120,0.451680
2.712568,8.681179,0.451030
2.712568,9.115238,0.450341
2.712568,9.549297,0.449614
2.712568,9.983356,0.448850
2.712568,10.417414,0.448047
2.712568,10.851473,0.447207
2.712568,11.285532,0.446330
2.712568,11.719591,0.445416
2.712568,12.153650,0.444465
2.712568,12.587709,0.443477
2.712568,13.021768,0.442454
2.712568,13.455827,0.441395
2.712568,13.889886,0.440301
2.712568,14.323945,0.439172
2.712568,14.758004,0.438008
2.712568,15.192063,0.436810
2.712568,15.626122,0.435578
2.712568,16.060181,0.434312
2.712568,16.494240,0.433013
2.712568,16.928298,0.431682
2.712568,17.362357,0.430318
2.712568,17.796416,0.428923
2.712568,18.230475,0.427495
2.712568,18.664534,0.426037
2.712568,19.098593,0.424548
2.712568,19.532652,0.423029
2.712568,19.966711,0.421481
2.712568,20.400770,0.419903
2.712568,20.834829,0.418296
2.712568,21.268888,0.416661
2.712568,21.702947,0.414998
2.712568,22.137006,0.413308
2.712568,22.571065,0.411591
2.712568,23.005124,0.409847
2.712568,23.439183,0.408078
2.712568,23.873241,0.406283
2.712568,24.307300,0.404464
2.712568,24.741359,0.402620
2.712568,25.175418,0.400752
2.712568,25.609477,0.398861
2.712568,26.043536,0.396947
2.712568,26.477595,0.395011
2.712568,26.911654,0.393053
2.712568,27.345713,0.391074
2.712568,27.779772,0.389074
2.712568,28.213831,0.387054
2.712568,28.647890,0.385014
2.712568,29.081949,0.382955
2.712568,29.516008,0.380878
2.712568,29.950067,0.378783
2.712568,30.384125,0.376670
2.712568,30.818184,0.374540
2.712568,31.252243,0.372394
2.712568,31.686302,0.370232
2.712568,32.120361,0.368055
2.712568,32.554420,0.365862
2.712568,32.988479,0.363656
2.712568,33.422538,0.361436
2.712568,33.856597,0.359203
2.712568,34.290656,0.356957
2.712568,34.724715,0.354699
2.712568,35.158774,0.352430
2.712568,35.592833,0.350150
2.712568,36.026892,0.347859
2.712568,36.460951,0.345558
2.712568,36.895010,0.343248
2.712568,37.329068,0.340928
2.712568,37.763127,0.338601
2.712568,38.197186,0.336265
2.712568,38.631245,0.333922
2.712568,39.065304,0.331572
2.712568,39.499363,0.329216
2.712568,39.933422,0.326854
2.712568,40.367481,0.324487
2.712568,40.801540,0.322114
2.712568,41.235599,0.319738
2.712568,41.669658,0.317357
2.712568,42.103717,0.314973
2.712568,42.537776,0.312586
2.712568,42.971835,0.310196
2.712568,58.197186,0.228040
2.712568,73.422538,0.157784
2.712568,88.647890,0.105148
2.712568,103.873241,0.069078
2.712568,119.098593,0.045645
2.712568,134.323945,0.030723
2.712568,149.549297,0.021092
2.712568,164.774648,0.014544
2.712568,180.000000,0.008853
5.415135,-180.000000,0.000727
5.415135,-164.774648,0.000785
5.415135,-149.549297,0.001362
5.415135,-134.323945,0.002731
5.415135,-119.098593,0.005968
5.415135,-103.873241,0.013812
5.415135,-88.647890,0.032531
5.415135,-73.422538,0.074285
5.415135,-58.197186,0.156531
5.415135,-42.971835,0.291142
5.415135,-42.537776,0.295684
5.415135,-42.103717,0.300257
5.415135,-41.669658,0.304860
5.415135,-41.235599,0.309493
5.415135,-40.801540,0.314154
5.415135,-40.367481,0.318841
5.415135,-39.933422,0.323555
5.415135,-39.499363,0.328294
5.415135,-39.065304,0.333056
5.415135,-38.631245,0.337841
5.415135,-38.197186,0.342648
5.415135,-37.763127,0.347474
5.415135,-37.329068,0.352319
5.415135,-36.895010,0.357181
5.415135,-36.460951,0.362059
5.415135,-36.026892,0.366952
5.415135,-35.592833,0.371858
5.415135,-35.158774,0.376776
5.415135,-34.724715,0.381705
5.415135,-34.290656,0.386642
5.415135,-33.856597,0.391586
5.415135,-33.422538,0.396535
5.415135,-32.988479,0.401489
5.415135,-32.554420,0.406444
5.415135,-32.120361,0.411401
5.415135,-31.686302,0.416356
5.415135,-31.252243,0.421309
5.415135,-30.818184,0.426258
5.415135,-30.384125,0.431200
5.415135,-29.950067,0.436134
5.415135,-29.516008,0.441058
5.415135,-29.081949,0.445970
5.415135,-28.647890,0.450869
5.415135,-28.213831,0.455753
5.415135,-27.779772,0.460619
5.415135,-27.345713,0.465466
5.415135,-26.911654,0.470292
5.415135,-26.477595,0.475095
5.415135,-26.043536,0.479873
5.415135,-25.609477,0.484624
5.415135,-25.175418,0.489346
5.415135,-24.741359,0.494037
